"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"-445.150479704797 x 388.936642066421",9,4,5,4,5,5,5,0,2,2,5,2,2,1,0,1,0,1,0,2,4,2,1,2,0,3,1,1,2,3,1,2,1,12,2,6,10,1,0,14,4,1,2,4,1,0,5,3,1,1,2,15,1,1,2,5,3,2,4,4,5,3,1,3,4,2,5,4,3,4,1,6,22,4,2,5,10,3,2,4,3,3,3,0,6,1,3,4,0,24,3,17,4,9,2,2,2,1,6,2,1,0,4,4,0,3,1,4,4,7,1,1,12,18,3,6,2,4,0,20,1,4,6,1,3,4,1,5,1,4,9,3,9,4,3,0,3,5,5,4
"-434.785206063477 x 318.418273330174",21,25,34,18,14,32,30,14,76,11,64,12,24,19,11,28,8,17,13,6,12,11,15,13,8,17,27,23,26,61,9,20,9,195,17,56,120,21,50,69,23,9,30,19,10,15,72,15,32,17,23,104,13,39,17,21,26,30,39,10,39,15,19,21,14,14,13,11,9,19,26,31,328,38,8,18,51,6,15,45,22,12,28,12,24,17,23,32,27,117,22,49,46,31,26,16,6,11,31,16,8,9,8,6,15,22,13,25,17,43,16,21,86,124,23,11,10,25,17,109,12,19,54,12,23,17,12,56,15,22,46,6,48,18,15,21,19,13,24,34
"-438.438976207643 x 465.661989906272",10,11,11,4,7,9,12,7,16,6,16,2,14,4,7,1,8,2,7,3,4,5,4,2,0,5,5,8,11,12,5,5,6,23,6,10,22,5,11,27,7,4,11,7,5,5,25,7,8,4,5,32,8,14,10,8,5,9,12,8,8,9,3,10,4,5,12,5,8,13,7,17,90,8,2,12,19,10,12,18,10,3,15,5,13,1,13,8,7,45,11,10,12,16,13,6,6,1,7,3,5,2,8,4,4,12,4,8,4,9,5,11,24,31,11,9,3,12,7,34,2,12,17,3,11,3,3,13,3,10,14,2,18,4,7,8,6,8,12,20
"-436.538035587188 x 420.920690391459",14,6,13,12,7,20,12,2,24,8,13,8,4,3,5,4,6,7,3,5,3,5,8,6,1,2,5,3,11,12,5,7,5,24,6,18,32,7,6,19,11,6,10,10,1,4,16,15,15,6,11,20,7,22,2,9,7,4,10,10,9,2,7,3,12,4,6,5,5,12,6,15,86,13,5,13,20,8,8,11,3,2,5,6,11,3,6,16,9,59,2,21,7,5,6,10,6,4,6,7,4,8,4,5,7,7,7,11,10,13,3,4,33,46,4,7,6,13,4,38,3,7,18,3,5,10,3,7,7,10,21,3,25,7,2,7,8,3,10,11
"-423.400731707317 x 385.523742160279",15,11,10,9,8,20,12,8,14,3,20,7,6,9,11,8,2,6,3,2,3,3,8,2,1,4,7,8,7,18,3,9,5,10,5,18,12,7,9,14,10,3,9,4,4,4,19,7,9,8,10,33,2,22,6,15,16,7,9,6,10,4,4,5,3,6,12,8,7,9,11,9,72,15,2,19,14,10,11,13,5,3,4,5,4,9,9,9,9,46,13,34,15,15,15,6,6,7,10,6,4,5,6,1,3,8,6,8,8,27,7,7,26,27,14,7,8,32,6,37,3,10,14,2,9,8,5,15,7,9,17,3,21,3,8,9,2,3,15,11
"-415.349294636297 x 361.375870683321",8,18,11,7,10,16,12,6,12,5,17,7,12,6,8,8,8,6,7,4,4,8,11,4,4,1,4,7,10,11,2,12,4,4,3,13,15,9,20,16,9,10,11,6,3,5,18,13,9,7,11,25,4,18,3,15,8,7,5,7,12,3,5,7,5,5,8,6,10,11,9,14,74,10,4,6,14,12,4,8,5,6,5,7,8,2,3,12,13,46,9,12,8,16,8,12,9,3,9,5,8,6,8,4,3,8,5,8,3,23,3,11,39,25,8,9,1,20,2,35,6,8,18,7,11,12,3,10,2,5,10,8,15,7,11,7,4,4,9,6
"-413.699471661863 x 436.349951969259",10,17,14,7,4,10,6,6,14,5,10,3,5,3,5,6,3,5,6,5,1,3,3,3,2,3,6,3,7,7,1,2,3,8,6,7,7,8,2,14,8,3,8,4,5,7,21,3,7,5,10,9,3,17,3,6,11,5,7,4,12,3,6,2,2,7,10,7,6,7,9,13,43,6,5,9,24,4,3,8,7,7,6,2,7,6,3,12,6,41,7,12,15,10,12,8,7,5,4,3,4,7,7,3,6,4,2,2,4,18,4,7,39,7,4,4,3,8,6,25,4,8,6,0,3,6,3,7,1,8,14,3,18,5,5,4,4,8,4,14
"-410.830980263158 x 469.994118421053",25,16,12,4,9,30,5,29,13,4,10,6,8,7,3,4,5,5,7,7,5,9,6,3,4,11,6,10,11,9,5,10,3,6,6,14,16,5,12,15,4,4,16,9,5,2,27,6,13,7,11,29,4,22,3,11,11,10,9,11,12,5,4,4,8,5,9,8,11,14,19,16,62,15,10,12,17,12,10,15,7,6,7,8,11,5,6,14,10,36,8,25,10,20,5,10,7,7,6,6,5,9,9,4,6,10,4,6,4,18,9,7,41,19,12,9,4,38,1,41,6,12,15,5,7,11,9,15,1,8,15,6,26,7,6,7,4,6,13,14
"-399.954215761285 x 408.31286151492",6,12,10,10,8,10,9,10,17,4,14,8,5,6,6,7,4,9,1,4,3,6,5,6,5,2,12,4,5,15,7,6,7,9,6,20,9,5,11,15,9,7,18,8,1,4,20,9,10,4,9,29,3,28,5,8,11,6,10,3,11,4,3,7,5,6,9,3,8,9,7,9,68,13,3,8,18,7,6,9,6,5,6,2,14,5,3,15,11,37,3,21,10,15,6,7,7,6,7,6,2,10,6,7,2,3,6,9,6,21,9,9,36,20,6,9,3,15,3,28,3,11,11,9,10,13,4,10,4,6,15,6,16,5,7,10,8,2,13,9
"-442.245722222223 x 507.680791666666",11,10,15,2,10,14,7,3,9,4,24,3,9,4,5,3,0,5,5,3,5,2,4,0,6,2,4,7,7,17,2,15,1,75,7,21,40,8,22,18,10,8,13,3,3,2,29,7,10,8,10,50,6,8,1,9,4,11,13,4,14,8,5,5,3,6,6,11,7,13,6,10,81,10,2,12,13,9,7,23,7,4,8,3,11,6,7,13,6,40,7,13,14,13,4,10,3,9,5,8,1,0,4,5,5,6,5,13,2,9,10,4,44,28,3,6,5,20,5,46,0,10,11,2,7,15,6,8,4,15,14,2,16,11,7,7,9,5,3,7
"-440.159104339797 x 550.899870729455",3,4,8,4,6,7,8,9,9,6,12,3,9,6,6,4,1,4,1,4,4,3,4,3,4,5,4,1,10,22,5,6,4,28,3,10,18,10,12,12,7,2,9,7,2,3,14,9,8,5,4,27,3,9,3,6,3,8,8,5,15,8,4,3,5,2,6,3,8,13,3,8,78,9,1,9,17,4,3,10,6,3,10,6,4,2,5,11,5,28,2,14,4,7,4,8,5,5,4,4,3,3,3,6,3,3,6,8,4,10,3,4,29,24,10,1,4,12,2,23,5,11,16,2,8,7,7,6,2,6,19,4,14,10,5,3,4,6,8,9
"-440.05879661017 x 590.135050847458",3,11,7,1,2,5,4,8,6,3,2,3,1,0,3,4,1,3,0,1,1,3,3,1,1,2,6,0,5,6,2,3,1,5,4,9,4,4,7,11,4,3,11,7,1,4,8,3,3,4,3,5,0,3,3,6,3,5,3,3,5,6,1,6,2,3,3,5,3,1,7,4,37,7,5,1,5,3,4,6,9,4,4,1,2,2,3,9,8,9,2,11,10,4,3,4,0,0,3,0,4,5,3,1,1,4,3,3,1,7,5,2,11,16,6,3,1,8,5,12,3,5,5,2,2,3,2,6,1,4,5,0,8,2,1,1,1,3,4,1
"-411.171835174172 x 536.122540356839",6,14,10,4,7,12,10,8,23,1,9,5,6,2,2,10,4,7,1,4,4,1,10,4,2,7,7,1,7,20,5,1,2,4,7,5,8,5,18,12,8,5,7,9,2,2,14,8,6,3,8,28,1,27,8,8,4,12,5,5,15,4,8,5,6,10,7,8,6,10,15,9,65,9,4,8,17,7,2,11,3,3,3,7,5,5,4,17,1,15,8,15,12,14,9,8,4,4,7,4,4,11,11,5,7,4,5,6,8,12,4,10,26,22,10,5,2,8,6,33,2,4,15,10,9,12,2,13,1,4,16,4,20,9,11,6,6,5,6,4
"-411.187492401216 x 584.089027355622",4,10,16,7,1,5,9,3,15,4,13,6,9,4,9,4,4,3,3,5,1,5,5,2,2,6,9,6,13,19,7,5,5,23,4,22,9,10,13,19,11,10,16,11,5,4,18,6,11,8,6,21,8,20,3,13,7,8,16,6,12,12,5,2,5,11,9,7,9,10,11,7,39,17,5,7,18,5,4,11,5,11,6,3,5,9,5,14,6,27,6,20,11,5,5,6,8,5,6,6,4,3,10,9,10,6,9,8,5,24,7,9,24,29,12,9,10,21,5,35,6,8,12,7,10,9,3,13,4,7,15,9,13,5,9,7,4,8,10,6
"-414.201482813749 x 503.784972022381",9,14,22,8,6,28,20,5,22,5,22,4,12,9,10,11,4,4,2,4,4,5,8,4,10,5,6,11,17,33,7,8,5,140,9,22,84,21,17,38,17,16,21,9,11,6,36,12,12,17,20,64,11,9,11,29,14,9,14,8,26,22,6,11,6,10,17,8,14,24,15,18,229,5,5,6,19,10,16,23,9,3,11,12,36,10,10,25,15,64,14,21,18,11,9,11,9,13,13,5,12,5,10,4,14,11,9,8,8,34,13,9,38,51,6,10,6,86,10,49,8,9,24,5,10,15,6,17,8,20,18,8,36,4,8,12,16,13,22,20
"-405.794925373134 x 561.654146658014",5,20,18,8,10,12,8,9,10,3,19,4,9,5,5,7,3,4,3,3,7,6,11,7,5,5,10,5,10,12,5,7,12,3,6,13,8,5,24,26,10,8,18,12,3,2,26,10,9,10,5,22,4,75,4,15,10,10,9,12,16,6,7,4,8,5,15,9,8,20,25,11,94,11,2,8,22,16,10,13,8,4,9,4,11,9,6,13,13,29,10,20,11,5,3,5,3,3,11,3,9,5,9,5,6,5,8,12,9,17,11,9,34,20,18,8,4,8,7,37,11,13,10,3,8,10,3,7,3,8,26,2,21,11,7,7,4,5,11,14
"-382.647745726496 x 528.595555555557",1,12,7,6,10,9,8,6,8,3,4,5,5,4,0,11,4,8,2,3,2,7,9,3,2,1,5,5,6,8,6,6,7,2,4,11,6,7,10,12,7,5,8,8,4,3,17,5,4,1,10,18,9,15,5,6,3,5,0,4,12,4,4,2,7,8,7,5,2,7,15,8,55,9,2,6,11,3,10,9,10,6,5,3,7,6,3,9,5,8,6,14,6,11,2,3,4,7,6,5,2,5,5,5,7,6,9,4,2,12,7,6,26,18,3,4,2,5,2,11,3,6,8,5,2,1,2,10,1,6,20,4,10,5,4,2,4,6,7,5
"-365.521004450095 x 589.904240305149",8,10,7,21,4,19,17,7,28,8,15,4,16,4,4,5,4,7,4,2,8,1,6,5,3,6,0,4,9,24,6,14,14,20,9,21,21,8,16,23,7,3,12,9,13,6,12,8,11,8,5,18,5,34,5,10,5,7,4,7,17,7,3,9,7,7,13,11,5,18,12,12,64,14,4,14,27,9,13,18,10,8,10,4,12,3,8,10,13,46,5,27,13,8,8,7,4,7,10,5,6,6,3,4,3,3,6,4,6,15,3,10,43,34,12,13,5,10,5,39,11,20,34,4,4,16,10,11,6,4,20,4,27,9,8,9,8,8,13,14
"-368.216755980861 x 563.251990430622",4,14,9,5,4,8,4,2,11,1,10,2,11,4,6,8,3,2,0,1,6,4,5,9,5,4,4,6,6,9,9,8,11,4,7,8,6,3,11,12,12,2,14,8,4,6,20,3,5,2,4,19,6,12,4,10,4,6,6,9,9,3,2,2,4,12,14,6,3,8,9,6,60,5,1,0,11,5,5,6,20,2,10,1,7,5,5,11,9,14,8,17,8,8,3,4,8,7,8,5,4,9,5,4,2,6,4,7,7,21,1,6,38,17,8,2,2,9,6,22,4,8,12,1,7,7,3,11,6,5,10,5,13,5,9,2,5,2,7,10
"-354.653282407407 x 532.790768518519",6,14,14,9,12,15,8,3,15,10,23,3,4,5,7,12,5,5,2,3,9,8,11,2,2,5,7,5,11,21,10,14,11,108,8,42,66,16,14,36,22,6,23,7,5,4,9,13,11,8,12,42,9,25,7,21,14,14,17,6,30,5,12,7,7,5,10,6,3,19,13,8,87,13,10,13,42,8,10,33,12,12,9,4,21,6,8,28,14,57,12,41,14,9,7,6,11,7,10,6,4,5,9,3,6,2,10,4,5,19,10,6,58,47,12,12,11,116,8,59,10,14,27,2,12,16,6,17,9,11,30,7,25,8,12,12,7,8,13,17
"-332.580798004988 x 559.223403990024",0,8,7,4,5,8,7,2,8,7,4,5,3,5,3,5,0,2,2,1,5,3,4,2,2,7,3,6,5,14,3,4,6,15,1,10,7,5,9,11,8,6,13,3,4,3,9,1,2,4,2,12,1,13,7,8,2,9,3,2,3,6,2,4,5,3,5,2,6,4,12,4,59,4,1,2,6,1,3,6,12,3,4,5,5,3,3,6,12,16,2,18,6,4,4,3,1,2,8,1,3,4,5,5,2,5,5,6,2,8,4,2,27,13,4,7,4,4,5,13,2,5,5,4,6,6,0,5,1,5,15,4,10,8,2,2,4,4,6,4
"-329.034883546206 x 497.426528925619",22,27,31,7,15,23,23,7,32,4,24,7,16,11,21,16,7,11,8,10,4,15,16,8,10,5,14,15,21,27,11,13,16,56,15,24,43,16,26,41,21,14,27,7,9,9,39,17,25,9,16,41,17,31,13,25,13,19,18,11,23,12,11,16,10,14,24,10,14,38,12,9,175,13,2,16,40,12,17,16,9,5,15,8,24,13,16,26,14,75,11,52,22,29,17,25,17,16,13,7,7,15,8,3,7,11,16,7,6,26,11,9,35,57,28,12,6,19,7,54,8,23,28,15,14,17,11,28,4,22,13,11,37,7,17,13,14,11,16,12
"-327.571441774492 x 533.651700554528",4,1,4,5,1,2,2,5,3,2,4,2,1,0,1,2,2,3,1,0,3,2,5,4,1,3,0,2,1,11,5,3,0,19,2,7,7,4,4,8,5,4,4,1,3,3,4,2,5,1,3,14,3,2,5,4,6,4,6,5,4,4,2,2,2,1,6,2,0,6,2,4,63,7,0,0,6,3,5,5,1,2,5,2,2,1,1,4,0,13,0,9,3,3,1,1,3,2,3,1,1,2,3,3,1,0,1,1,2,5,1,3,15,12,5,2,1,15,1,9,1,8,4,1,0,1,1,3,1,3,8,2,3,0,2,1,4,1,7,6
"-302.594828349944 x 585.406408268733",11,18,21,15,26,18,28,19,35,6,25,8,15,17,6,13,9,9,2,4,7,17,13,9,3,8,15,9,15,57,9,20,11,98,10,41,40,17,68,37,17,12,14,26,8,8,34,16,9,7,14,32,14,31,6,35,17,15,19,9,17,20,14,7,7,18,15,20,13,19,23,14,129,16,7,19,52,11,12,34,15,7,22,6,12,12,9,24,21,59,16,42,28,13,12,11,11,15,13,6,11,9,11,10,6,8,15,14,5,28,10,9,66,59,23,16,9,58,6,65,7,20,22,9,6,13,6,22,10,11,33,12,40,6,6,12,12,10,19,22
"-308.913741007194 x 549.263147482014",6,6,7,6,4,12,2,4,17,3,17,4,4,1,5,5,3,9,2,1,5,3,5,3,4,2,4,7,3,18,4,6,3,30,3,9,23,13,10,19,0,2,13,6,2,3,6,5,7,4,6,23,3,6,5,8,4,7,7,5,8,3,1,7,10,4,5,5,5,8,9,4,121,3,5,6,11,5,8,11,6,3,2,4,7,4,4,12,12,23,5,11,7,7,1,5,3,3,15,3,2,4,4,3,3,6,5,6,5,9,5,2,38,27,4,6,3,31,4,28,2,10,12,4,5,8,2,6,3,5,11,1,13,11,2,5,4,7,9,7
"-310.327183462532 x 570.081343669251",0,7,3,2,4,4,5,2,5,2,4,0,3,0,1,4,1,4,1,2,0,2,1,1,1,1,1,2,2,5,2,7,3,6,2,7,2,2,5,6,3,0,4,2,3,1,3,0,2,1,3,4,2,4,1,4,1,3,2,1,2,2,1,0,3,3,3,3,5,8,5,2,34,2,1,1,2,2,5,7,5,2,4,2,2,0,2,4,5,6,2,1,1,3,0,3,0,1,1,2,0,3,0,2,0,3,4,0,1,2,3,2,5,2,1,2,2,9,2,3,1,4,4,2,1,1,2,2,1,5,8,2,4,1,2,1,2,1,1,3
"-298.689769898152 x 509.320592229348",14,16,29,13,14,22,18,10,52,13,30,12,25,22,14,14,13,7,11,4,10,11,17,8,15,11,19,13,24,34,17,15,12,63,17,29,42,17,23,33,26,10,28,14,6,13,25,14,29,11,13,52,8,18,7,21,14,14,21,11,48,12,8,8,10,13,12,13,14,25,16,12,144,19,1,24,59,12,16,25,17,15,19,11,20,8,17,23,15,70,17,38,16,8,12,3,9,8,21,4,10,9,14,8,9,8,19,15,4,24,6,13,54,49,9,14,7,23,12,62,12,19,29,15,7,16,7,18,7,17,24,6,33,10,10,14,10,7,17,24
"-289.53965738758 x 555.30556745182",1,3,2,5,3,3,2,2,6,0,0,0,1,2,0,4,5,2,3,3,0,1,4,2,0,6,4,2,1,4,1,1,1,2,2,2,4,1,5,6,4,1,5,1,1,2,6,2,0,0,5,8,2,5,2,2,2,3,1,3,5,6,3,2,3,1,3,3,0,1,6,1,66,1,2,1,6,2,3,4,4,1,1,1,3,2,1,9,6,7,0,3,9,7,3,2,1,2,1,2,3,6,0,1,2,3,2,0,0,6,3,5,6,11,2,3,1,17,2,9,0,2,3,2,6,3,0,8,0,0,5,1,2,2,3,3,2,1,3,4
"-273.495879230259 x 536.439163901792",1,10,11,6,9,11,14,4,27,6,13,7,7,7,3,10,3,8,5,7,5,9,11,5,3,5,5,6,12,33,6,5,8,32,3,21,31,6,9,26,8,9,15,5,3,3,13,9,10,6,10,20,12,24,11,14,9,10,17,1,18,3,7,5,7,9,8,5,7,17,6,9,82,8,3,8,21,4,4,12,13,5,10,5,9,9,9,13,15,48,11,25,16,8,6,7,7,5,10,5,6,5,4,5,7,4,6,5,8,20,11,3,41,29,8,10,2,18,5,38,3,13,16,4,7,6,3,15,8,5,24,0,14,7,10,6,6,4,12,11
"-268.422083333333 x 568.949645833334",4,8,11,6,4,4,9,2,15,6,11,9,13,2,5,7,4,4,2,2,1,2,4,1,2,6,6,3,7,10,3,6,3,10,4,12,13,7,21,7,7,2,2,6,5,3,10,5,7,6,9,17,3,9,5,7,6,8,8,3,5,10,3,2,5,4,3,3,1,7,14,7,82,4,1,2,11,4,6,5,5,3,7,1,4,6,3,9,12,18,7,6,7,8,4,4,0,0,11,4,1,5,5,2,2,6,3,5,2,6,3,7,15,13,5,8,4,30,5,21,3,6,8,5,8,2,5,16,3,4,9,3,12,6,10,4,5,7,7,7
"-243.823448854109 x 511.994242593628",6,17,12,8,9,16,18,9,31,11,19,2,12,7,10,12,3,7,2,4,4,4,3,6,4,8,15,11,12,24,10,2,7,53,16,13,37,13,17,27,18,2,20,15,1,7,18,8,19,6,10,27,13,18,11,7,8,15,11,7,15,5,10,10,8,3,20,7,7,15,8,12,101,12,6,13,30,9,10,15,6,7,15,5,13,6,10,15,10,52,8,27,15,20,10,10,13,8,9,8,10,5,7,6,2,11,9,5,9,15,1,10,23,28,11,3,4,9,5,36,9,12,22,10,8,7,4,12,9,10,32,12,31,14,7,14,4,9,18,11
"-240.944401993355 x 562.541461794021",9,21,20,5,14,13,8,5,26,9,20,3,5,14,8,11,7,7,3,4,5,10,4,6,6,6,5,2,10,17,10,4,10,48,2,13,42,7,18,21,11,5,14,13,5,9,25,10,10,7,9,23,10,27,8,21,6,12,16,4,20,8,9,1,12,8,18,9,5,11,7,15,106,15,4,11,26,6,9,11,11,10,10,10,12,10,13,23,9,55,12,27,14,15,10,11,9,10,5,5,6,11,4,8,6,13,5,9,2,26,6,16,31,58,8,10,6,14,8,40,9,12,18,6,9,11,9,16,5,4,16,6,24,16,12,7,8,10,15,11
"-235.402806451613 x 591.150451612903",2,6,5,6,2,3,2,1,6,1,5,0,0,3,2,4,4,0,0,0,1,2,1,0,1,2,5,3,2,8,2,4,0,25,7,9,9,7,5,8,3,5,12,1,1,2,10,1,6,3,5,5,5,19,1,10,4,6,3,3,2,0,2,1,2,1,4,2,3,8,1,4,44,5,1,4,4,3,5,7,1,4,2,1,9,1,7,5,3,5,2,1,0,3,2,1,3,2,1,4,4,3,1,0,2,8,1,1,2,7,4,1,17,7,5,4,1,54,2,10,2,6,8,1,4,3,4,2,2,1,6,0,14,2,1,4,1,1,0,6
"-214.230404217926 x 571.524982425307",6,8,7,5,10,12,8,3,10,2,29,3,5,6,4,2,2,3,2,0,2,4,5,3,5,3,6,4,8,15,8,5,5,43,6,9,25,5,6,17,9,3,13,4,2,4,21,7,8,4,5,11,3,7,4,15,5,5,8,6,10,1,3,2,8,4,6,8,7,10,4,8,47,3,4,15,18,6,14,8,8,5,6,1,6,3,7,10,8,27,2,26,13,6,4,3,3,6,4,4,2,3,5,7,8,4,5,7,6,20,10,4,37,32,9,6,2,19,2,15,6,10,12,4,5,5,4,10,5,12,10,2,11,5,3,6,4,8,4,16
"-214.943955773956 x 519.889115479116",7,11,14,5,11,10,8,11,13,3,5,2,5,5,3,6,4,4,2,7,3,1,4,5,3,8,7,3,10,12,2,7,10,8,5,7,9,6,14,24,5,7,11,9,6,5,18,9,6,10,8,16,3,11,3,10,5,8,8,12,6,11,1,8,4,3,5,7,9,5,16,17,81,10,2,5,10,7,2,7,8,0,9,6,10,8,4,15,4,20,9,20,14,16,14,4,4,4,5,5,3,8,3,5,2,3,4,13,8,13,7,12,28,26,15,7,3,11,6,30,7,7,13,4,4,9,4,10,2,4,15,5,19,8,6,11,9,5,11,12
"-204.650437044745 x 538.462882414152",8,9,4,4,5,17,3,2,5,2,16,2,3,6,4,6,1,7,2,2,1,3,3,3,6,3,2,3,6,9,4,4,6,39,8,11,25,3,10,15,7,3,13,10,4,2,9,6,3,1,8,9,3,18,5,20,7,11,7,3,10,1,3,1,5,3,3,7,5,10,5,5,24,4,5,8,8,3,5,17,3,4,4,3,13,3,4,3,7,17,7,17,8,7,3,5,3,3,3,1,6,4,4,2,1,8,3,3,3,14,4,13,21,18,8,4,5,30,5,18,2,11,6,2,4,5,2,10,3,3,12,1,14,4,4,4,4,2,10,13
"-387.84252265861 x 310.610317220544",1,11,4,7,7,12,9,4,15,9,12,4,5,2,4,4,3,7,6,5,9,2,7,8,7,1,5,6,6,16,8,11,8,30,1,24,15,9,7,13,10,8,19,5,4,3,24,6,9,4,7,35,7,24,4,17,8,7,2,2,11,1,6,6,6,3,10,2,6,12,8,13,60,6,4,7,16,4,8,16,6,3,9,2,14,3,8,7,19,19,5,35,10,18,6,2,7,8,12,10,7,11,6,5,5,7,21,3,6,16,3,5,18,21,8,11,6,42,1,21,6,18,13,2,9,8,3,10,8,8,20,5,12,5,7,3,2,2,8,15
"-383.293827586207 x 339.074787356322",8,14,7,6,13,21,9,7,26,2,24,5,13,7,5,9,2,5,4,1,5,6,9,5,6,6,11,7,10,19,9,9,7,25,14,29,17,9,9,22,19,12,15,6,8,11,18,3,6,10,11,41,6,37,9,19,9,14,14,10,13,15,7,5,3,13,18,8,7,14,8,15,59,11,0,11,21,9,10,24,6,7,8,3,11,8,9,20,29,38,9,49,9,10,17,13,5,10,7,7,2,4,8,5,12,15,10,6,8,23,5,9,40,31,11,10,5,36,7,45,6,15,18,6,6,13,3,17,5,16,19,4,17,12,4,5,7,10,11,8
"-381.50499375 x 448.7248125",5,7,12,11,8,17,13,12,23,4,20,3,9,4,8,7,2,6,1,3,9,6,7,7,8,5,11,8,17,16,3,13,1,14,4,18,16,2,15,16,8,8,20,10,9,6,22,7,6,6,11,29,2,20,7,10,12,9,14,9,8,12,7,5,14,10,14,5,7,12,16,6,59,10,7,16,22,16,7,14,7,2,10,7,14,5,9,15,12,50,9,21,12,15,10,7,6,5,14,6,8,10,12,6,8,11,12,9,6,25,12,5,35,28,10,9,6,55,5,23,4,8,11,8,10,17,8,12,8,9,19,6,27,2,7,4,8,4,15,19
"-376.663793219201 x 494.022017455522",25,15,24,16,15,18,18,12,33,9,36,15,14,15,14,9,6,9,8,10,10,5,13,8,10,11,10,5,19,44,10,13,14,149,15,40,82,18,15,36,21,13,40,9,13,9,47,7,16,18,16,72,21,19,9,24,10,25,19,10,27,24,10,11,12,16,23,9,11,30,13,27,201,8,5,19,36,10,7,25,14,13,14,14,27,7,13,20,23,90,14,27,14,19,13,13,10,17,27,7,6,8,18,6,10,5,11,11,12,37,9,14,40,54,12,17,8,57,6,65,8,27,44,15,25,16,7,23,11,28,38,12,37,15,14,16,12,4,18,17
"-378.862580645162 x 379.514771968854",13,14,19,8,10,8,16,6,30,9,26,10,16,5,6,10,5,4,6,5,9,12,11,4,6,7,4,8,8,22,6,11,8,76,7,30,48,14,8,24,11,11,18,6,10,7,24,7,12,4,5,29,11,18,8,14,13,7,7,9,11,9,5,6,10,8,12,8,6,8,5,8,94,8,2,14,32,7,4,13,10,6,13,11,20,3,9,10,11,68,8,32,13,13,10,8,7,8,17,7,3,5,10,4,3,2,12,9,5,20,10,9,32,30,9,10,7,21,4,37,5,16,18,8,6,12,6,16,8,18,17,7,24,10,7,5,4,4,13,18
"-366.860519662921 x 420.983483146067",11,16,10,13,7,10,10,7,18,7,17,4,5,4,4,3,5,2,3,7,10,8,13,4,7,6,8,8,8,13,8,8,6,11,12,15,11,9,7,24,7,3,17,7,5,2,27,5,10,6,5,30,7,15,6,6,4,10,5,8,9,7,7,7,11,5,9,7,5,7,12,19,49,6,4,1,21,7,7,17,10,5,6,4,15,9,1,11,10,62,9,20,12,25,3,5,8,8,13,3,9,10,9,5,6,4,9,8,3,25,3,7,40,22,8,8,5,19,6,33,3,10,13,4,9,12,9,17,4,8,18,5,15,7,8,4,6,11,12,10
"-354.951461090524 x 301.663409211223",9,14,11,16,8,23,22,9,14,11,36,5,9,5,5,9,6,4,2,5,7,10,7,9,2,8,10,8,4,26,6,11,9,26,19,20,16,7,19,21,18,8,21,11,4,4,29,12,9,4,8,56,11,35,7,8,4,21,4,8,25,6,7,3,7,13,17,10,14,15,21,7,45,7,2,10,37,3,7,8,32,7,11,1,14,11,4,16,8,86,8,49,6,21,5,10,8,15,8,5,6,4,9,7,6,7,14,11,8,22,6,14,60,37,18,13,6,22,9,38,7,16,21,9,8,18,2,21,7,12,19,2,32,12,7,4,10,8,3,15
"-348.554332855093 x 465.978464849354",7,5,13,3,15,9,3,7,14,11,19,6,11,2,9,5,4,5,2,5,4,3,6,3,3,6,8,9,18,17,5,9,3,29,11,18,15,5,5,23,4,5,9,6,8,7,14,9,13,5,5,37,5,13,7,7,10,5,3,3,13,5,4,5,7,2,11,8,11,12,6,8,53,6,6,16,24,18,8,4,6,6,12,7,14,5,9,7,8,69,8,24,13,11,17,6,5,10,3,10,3,7,3,2,4,9,5,10,6,15,5,7,31,29,7,7,7,30,9,29,2,7,16,4,10,6,5,18,2,5,16,9,18,5,7,3,2,4,13,10
